id;age_years;age_years_full;sex;cb;experimenter;order;condition;trial;obj.pair;consis;hierarchy_dx_coin;hierarchy_x_coin;fb_control;res_c;res_t;c_correct;t_correct
43;5,10136986301370;5;m;CB_22;Isa;nca nca;change_of_location;2;0M;I;1;1;1;left;self;0;0
44;5,07671232876712;5;m;CB_11;Joana;acn acn;dual_identity;1;XC;I;1;1;1;left;self;0;0
44;5,07671232876712;5;m;CB_11;Joana;acn acn;dual_identity;2;XC;C;1;1;0;NA;NA;NA;NA
44;5,07671232876712;5;m;CB_11;Joana;acn acn;control;1;XC;C;1;1;NA;right;self;1;1
44;5,07671232876712;5;m;CB_11;Joana;acn acn;control;2;XC;I;1;1;NA;right;wind;1;1
44;5,07671232876712;5;m;CB_11;Joana;acn acn;change_of_location;1;M0;I;1;1;0;NA;NA;NA;NA
44;5,07671232876712;5;m;CB_11;Joana;acn acn;change_of_location;2;M0;C;1;1;0;NA;NA;NA;NA
46;7,85753424657534;7;m;CB_13;Joana;acn acn;dual_identity;1;CX;I;1;1;1;left;wind;1;1
46;7,85753424657534;7;m;CB_13;Joana;acn acn;dual_identity;2;XC;C;1;1;1;right;self;1;1
46;7,85753424657534;7;m;CB_13;Joana;acn acn;control;1;XC;C;1;1;NA;right;self;1;1
46;7,85753424657534;7;m;CB_13;Joana;acn acn;control;2;CX;I;1;1;NA;left;wind;1;1
46;7,85753424657534;7;m;CB_13;Joana;acn acn;change_of_location;1;0M;I;1;1;1;right;wind;1;1
46;7,85753424657534;7;m;CB_13;Joana;acn acn;change_of_location;2;M0;C;1;1;1;left;self;0;1
47;7,08219178082192;7;f;CB_14;Joana;acn acn;dual_identity;1;XC;I;1;1;1;right;wind;1;1
47;7,08219178082192;7;f;CB_14;Joana;acn acn;dual_identity;2;CX;C;1;1;1;left;self;1;1
47;7,08219178082192;7;f;CB_14;Joana;acn acn;control;1;CX;C;1;1;NA;left;self;1;1
47;7,08219178082192;7;f;CB_14;Joana;acn acn;control;2;XC;I;1;1;NA;right;wind;1;1
47;7,08219178082192;7;f;CB_14;Joana;acn acn;change_of_location;1;M0;I;1;1;1;left;wind;0;1
47;7,08219178082192;7;f;CB_14;Joana;acn acn;change_of_location;2;0M;C;1;1;1;right;self;1;1
48;6,31232876712329;6;m;CB_23;Isa;nca nca;dual_identity;1;XC;C;1;1;1;right;self;1;1
48;6,31232876712329;6;m;CB_23;Isa;nca nca;dual_identity;2;CX;I;1;1;1;left;wind;1;1
48;6,31232876712329;6;m;CB_23;Isa;nca nca;control;1;CX;I;1;1;NA;left;wind;1;1
48;6,31232876712329;6;m;CB_23;Isa;nca nca;control;2;XC;C;1;1;NA;right;self;1;1
48;6,31232876712329;6;m;CB_23;Isa;nca nca;change_of_location;1;M0;C;1;1;1;left;wind;0;0
48;6,31232876712329;6;m;CB_23;Isa;nca nca;change_of_location;2;0M;I;1;1;1;right;wind;1;1
49;5,78630136986301;5;m;CB_24;Isa;nca nca;dual_identity;1;CX;C;1;1;1;right;wind;0;0
