id;age_years;age_years_full;sex;cb;experimenter;order;obj.pair_1_dual_identity;obj.pair_2_dual_identity;obj.pair_1_control;obj.pair_2_control;obj.pair_1_change_of_location;obj.pair_2_change_of_location;consis_1_dual_identity;consis_2_dual_identity;consis_1_control;consis_2_control;consis_1_change_of_location;consis_2_change_of_location;res_c_1_dual_identity;res_c_2_dual_identity;res_c_1_control;res_c_2_control;res_c_1_change_of_location;res_c_2_change_of_location;res_t_1_dual_identity;res_t_2_dual_identity;res_t_1_control;res_t_2_control;res_t_1_change_of_location;res_t_2_change_of_location;c_correct_1_dual_identity;c_correct_2_dual_identity;c_correct_1_control;c_correct_2_control;c_correct_1_change_of_location;c_correct_2_change_of_location;t_correct_1_dual_identity;t_correct_2_dual_identity;t_correct_1_control;t_correct_2_control;t_correct_1_change_of_location;t_correct_2_change_of_location
124;4,70958904109589;4;f;CB_28;Isa;nca nca;XC;XC;CX;CX;M0;M0;I;C;C;I;I;C;left;left;left;right;right;right;self;wind;self;self;self;self;0;0;1;0;1;1;0;0;1;0;0;1
125;7,10684931506849;7;m;CB_31;Isa;nca nca;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;left;right;right;left;right;left;wind;self;self;wind;wind;self;1;1;1;1;1;0;1;1;1;1;1;1
126;5,35342465753425;5;f;CB_32;Isa;nca nca;XC;CX;CX;XC;M0;0M;I;C;C;I;I;C;NA;NA;left;right;left;right;NA;NA;self;wind;wind;self;NA;NA;1;1;0;1;NA;NA;1;1;1;1
127;4,29589041095890;4;f;CB_27;Isa;nca nca;CX;CX;XC;XC;0M;0M;I;C;C;I;I;C;left;left;left;left;left;left;wind;self;wind;wind;self;wind;1;1;0;0;0;0;1;1;0;1;0;0
128;4,28219178082192;4;f;CB_26;Isa;nca nca;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;left;left;left;left;left;left;self;self;self;wind;self;wind;1;1;1;1;0;0;0;1;1;1;0;0
129;4,79452054794521;4;m;CB_23;Isa;nca nca;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;right;right;left;right;self;self;self;self;self;self;1;1;0;1;0;1;1;0;0;1;1;0
130;7,58356164383562;7;f;CB_20;Isa;nca nca;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;left;left;right;right;right;right;self;wind;wind;self;self;self;1;1;1;1;1;1;1;1;1;1;1;0
131;5,31780821917808;5;m;CB_19;Eva;nca nca;XC;XC;CX;CX;M0;M0;C;I;I;C;C;I;right;right;left;left;left;left;self;wind;self;self;wind;wind;1;1;1;1;0;0;1;1;0;1;0;1
132;5,90958904109589;5;m;CB_18;Isa;nca nca;XC;XC;XC;XC;M0;M0;C;I;I;C;C;I;right;right;left;right;left;left;self;wind;self;self;wind;wind;1;1;0;1;0;0;1;1;0;1;0;1
133;4,79178082191781;4;m;CB_15;Isa;acn acn;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;right;left;left;NA;wind;self;self;wind;wind;NA;1;1;1;1;0;NA;1;1;1;1;1;NA
134;4,98904109589041;4;f;CB_15;Eva;acn acn;XC;CX;XC;CX;M0;0M;I;C;C;I;I;C;right;left;right;left;left;right;wind;self;self;wind;wind;self;1;1;1;1;0;1;1;1;1;1;1;1
135;6,93972602739726;6;f;CB_05;Eva;acn acn;XC;CX;CX;XC;M0;0M;C;I;I;C;C;I;right;left;left;right;left;right;self;wind;wind;self;self;wind;1;1;1;1;0;1;1;1;1;1;1;1
137;7,07945205479452;7;f;CB_02;Eva;acn acn;CX;CX;XC;XC;0M;0M;C;I;I;C;C;I;left;left;right;right;right;right;self;wind;wind;self;self;wind;1;1;1;1;1;1;1;1;1;1;1;1
138;4,84109589041096;4;m;CB_30;Eva;nca nca;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;right;left;left;right;left;right;wind;wind;wind;wind;wind;wind;0;0;1;1;0;1;1;0;0;1;1;0
139;4,45753424657534;4;f;CB_12;Eva;acn acn;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;left;left;right;left;right;left;wind;self;wind;wind;wind;wind;1;1;0;1;1;0;1;1;0;1;1;0
142;7,02185792349727;7;m;CB_30;Isa;nca nca;CX;XC;CX;XC;0M;M0;I;C;C;I;I;C;left;right;left;right;right;left;wind;self;self;wind;wind;self;1;1;1;1;1;0;1;1;1;1;1;1
143;5,12602739726027;5;m;CB_12;Eva;acn acn;CX;CX;CX;CX;0M;0M;I;C;C;I;I;C;NA;NA;left;left;right;left;NA;NA;self;wind;wind;wind;NA;NA;1;1;1;0;NA;NA;1;1;1;0
144;4,73698630136986;4;f;CB_13;Eva;acn acn;CX;XC;XC;CX;0M;M0;I;C;C;I;I;C;left;right;right;left;left;right;wind;self;self;wind;self;wind;1;1;1;1;0;1;1;1;1;1;0;0
