n;sim;p;comp.sign;red.null.p;IE.belief.age.p;IE.belief.age.sign;red.null.sign
108;675;2,23113543901372e-01;FALSE;9,88507425154513e-04;2,10939009763981e-01;FALSE;TRUE
108;676;1,01976133063456e-02;TRUE;5,22543148538366e-04;6,80928363929710e-03;TRUE;TRUE
108;677;2,33732528287112e-01;FALSE;2,07859560996630e-03;2,38329759554030e-01;FALSE;TRUE
108;678;8,15695910734942e-04;TRUE;2,03084966654601e-04;1,22658406670222e-03;TRUE;TRUE
108;679;1,69170585574064e-02;TRUE;1,75233579438105e-02;8,58706044151265e-03;TRUE;TRUE
108;680;2,64220007482668e-01;FALSE;2,75486132868322e-06;0,00000000000000e+00;TRUE;TRUE
108;681;3,90603313525854e-01;FALSE;1,27232999521542e-04;3,78108998467232e-01;FALSE;TRUE
108;682;2,75100707743600e-01;FALSE;5,00513658573934e-05;2,64874824505564e-01;FALSE;TRUE
108;683;3,81224380496142e-04;TRUE;8,70297010955487e-04;3,20323805029845e-04;TRUE;TRUE
108;684;6,50058138375308e-05;TRUE;3,47408240456333e-04;8,36949576062384e-05;TRUE;TRUE
108;685;1,49084031396813e-05;TRUE;1,44190915649342e-05;1,90499760820192e-05;TRUE;TRUE
108;686;3,98645851005738e-04;TRUE;4,15052072637976e-10;2,30470098557068e-04;TRUE;TRUE
108;687;6,61267542641648e-02;FALSE;7,00543701670678e-05;5,13645942075403e-02;FALSE;TRUE
108;688;2,18445501232864e-02;TRUE;2,47845513345311e-07;2,05307091446216e-02;TRUE;TRUE
108;689;6,37329448447188e-03;TRUE;1,06320558852292e-04;7,83817182099439e-03;TRUE;TRUE
108;690;2,54924426833139e-02;TRUE;7,16762506294353e-04;2,04455584172504e-02;TRUE;TRUE
108;691;5,88295762461356e-03;TRUE;4,09190246501335e-01;4,59452023640225e-03;TRUE;FALSE
108;692;1,31709024508937e-04;TRUE;7,58622282474972e-04;6,85048635619695e-05;TRUE;TRUE
108;693;1,87366058841811e-01;FALSE;2,40114688301124e-03;0,00000000000000e+00;TRUE;TRUE
108;694;7,13572646700212e-03;TRUE;1,45748214464676e-06;6,25429700557542e-03;TRUE;TRUE
108;695;2,28366028928146e-02;TRUE;1,84613489683653e-02;2,03699052942374e-02;TRUE;TRUE
108;696;1,51898591712909e-04;TRUE;1,29749066468603e-04;0,00000000000000e+00;TRUE;TRUE
108;697;4,27421026202037e-01;FALSE;3,47573066934737e-06;4,14922271498838e-01;FALSE;TRUE
108;698;4,77901681095361e-02;TRUE;1,14146788746604e-03;0,00000000000000e+00;TRUE;TRUE
108;699;3,26839237904715e-03;TRUE;3,86912362902743e-05;2,67520795065657e-03;TRUE;TRUE
108;700;6,25974607230568e-07;TRUE;7,82538754603644e-02;3,75479265959023e-06;TRUE;FALSE
108;701;1,52807686492853e-02;TRUE;1,78262955349482e-06;9,50802958475064e-03;TRUE;TRUE
108;702;7,76086232547774e-02;FALSE;5,05644350589670e-06;6,75185427041496e-02;FALSE;TRUE
108;703;7,10340707618389e-09;TRUE;3,58822187475989e-07;1,06933602372423e-07;TRUE;TRUE
108;704;3,81100385312664e-03;TRUE;2,19544383369592e-03;2,43484730140459e-03;TRUE;TRUE
108;705;2,65233960510675e-03;TRUE;6,42182792005005e-10;1,82352217448891e-03;TRUE;TRUE
108;706;2,09299012540671e-06;TRUE;3,32740015392337e-06;2,18609290046029e-06;TRUE;TRUE
108;707;7,30651592614668e-03;TRUE;2,11896615432413e-06;0,00000000000000e+00;TRUE;TRUE
108;708;3,61109374988964e-02;TRUE;2,51334202160234e-02;2,52997824032851e-02;TRUE;TRUE
108;709;2,54993645885202e-04;TRUE;2,94037202267442e-02;1,83698785727806e-04;TRUE;TRUE
108;710;1,42787775350204e-03;TRUE;1,06599022977327e-04;0,00000000000000e+00;TRUE;TRUE
108;711;1,16226222254867e-03;TRUE;1,62020165182669e-02;5,48662265458331e-04;TRUE;TRUE
108;712;8,03380990208940e-03;TRUE;2,72649531705497e-04;4,79585553477576e-03;TRUE;TRUE
108;713;7,32778824401681e-01;FALSE;8,20750113597461e-05;7,35047959218420e-01;FALSE;TRUE
108;714;1,07628119501922e-03;TRUE;9,45328351545004e-08;1,24483423713079e-03;TRUE;TRUE
108;715;2,43314268922655e-02;TRUE;2,68501600852808e-07;1,80460830951673e-02;TRUE;TRUE
108;716;2,34735627136780e-01;FALSE;2,85293928594639e-05;2,24469892275777e-01;FALSE;TRUE
108;717;2,17788783858560e-05;TRUE;1,01827353450884e-03;1,77732368393481e-05;TRUE;TRUE
108;718;1,35012688953361e-03;TRUE;1,34923702057637e-01;1,94204712369028e-03;TRUE;FALSE
108;719;3,16554581721054e-03;TRUE;1,66576793024637e-02;2,25210591666864e-03;TRUE;TRUE
108;720;4,46984395528263e-04;TRUE;1,13730391793354e-05;1,81853539735073e-04;TRUE;TRUE
108;721;5,34299555334458e-04;TRUE;1,17316277302752e-04;6,41167927264287e-04;TRUE;TRUE
108;722;8,59736953764896e-02;FALSE;1,63108358343388e-06;6,94574083519588e-02;FALSE;TRUE
108;723;3,50453251288013e-02;TRUE;5,23743360823265e-04;3,50138689671167e-02;TRUE;TRUE
108;724;6,68302532819237e-03;TRUE;3,33743370688692e-06;5,90882210738699e-03;TRUE;TRUE
108;725;6,20833341163784e-02;FALSE;2,17950554242745e-02;6,43680857887796e-02;FALSE;TRUE
108;726;8,33280450265049e-01;FALSE;1,27556261927972e-06;8,33070459812388e-01;FALSE;TRUE
108;727;4,25522428653488e-07;TRUE;5,18800963421961e-03;2,93587679874385e-07;TRUE;TRUE
108;728;1,09464639888736e-04;TRUE;4,28242674807613e-02;7,20540302861786e-05;TRUE;TRUE
108;729;4,33508318927743e-06;TRUE;2,69266989241529e-03;8,10343985255562e-06;TRUE;TRUE
108;730;8,79024092506749e-08;TRUE;3,30556762629580e-02;4,22066445832189e-07;TRUE;TRUE
108;731;3,32495964101180e-01;FALSE;1,16359646168759e-06;3,30359474855370e-01;FALSE;TRUE
108;732;5,36082985699484e-05;TRUE;1,03377702164848e-05;1,28815083083897e-04;TRUE;TRUE
108;733;1,29028104578473e-05;TRUE;2,42389215903469e-02;2,92273762496281e-05;TRUE;TRUE
108;734;4,04190385498806e-02;TRUE;3,14843915933433e-08;3,45766048611527e-02;TRUE;TRUE
108;735;9,15428614124288e-05;TRUE;4,61720958429952e-08;7,42307352563429e-05;TRUE;TRUE
108;736;1,29009262192770e-03;TRUE;2,16072306803519e-07;6,54894381875368e-04;TRUE;TRUE
108;737;3,81682111287672e-06;TRUE;1,01247448607690e-03;6,11279458525404e-06;TRUE;TRUE
108;738;1,23965436779740e-03;TRUE;1,17638483030123e-06;9,19395429866541e-04;TRUE;TRUE
108;739;4,76974836077100e-01;FALSE;1,20111618258115e-03;4,76427222713651e-01;FALSE;TRUE
108;740;2,50510776979171e-04;TRUE;4,81959179871132e-05;0,00000000000000e+00;TRUE;TRUE
108;741;2,43472225773305e-01;FALSE;3,60215137680686e-05;2,41706844099251e-01;FALSE;TRUE
108;742;1,51658083800460e-04;TRUE;3,05428725212744e-02;1,22400976389500e-04;TRUE;TRUE
108;743;1,38352741618327e-01;FALSE;2,27854261345258e-03;1,20974749197516e-01;FALSE;TRUE
108;744;2,23113337531468e-02;TRUE;1,02701480143069e-04;1,94000151097130e-02;TRUE;TRUE
108;745;3,83408224188901e-02;TRUE;4,81263445293435e-03;3,92935441550843e-02;TRUE;TRUE
108;746;3,68902175907181e-06;TRUE;3,15739057497718e-07;7,19680882645938e-06;TRUE;TRUE
108;747;4,43061713940025e-03;TRUE;2,62622084070437e-10;5,22949604764141e-03;TRUE;TRUE
108;748;5,19488278384130e-01;FALSE;1,62890467551448e-07;4,97640118370169e-01;FALSE;TRUE
108;749;1,28117495854793e-02;TRUE;4,42982253818355e-03;1,03541127074748e-02;TRUE;TRUE
108;750;1,15001743624740e-02;TRUE;3,84784339997952e-03;1,00854663129749e-02;TRUE;TRUE
108;751;2,64379166091625e-03;TRUE;1,54274286308322e-01;4,11099623521225e-03;TRUE;FALSE
108;752;9,39113641182362e-05;TRUE;2,17580955776335e-01;2,77805419294353e-04;TRUE;FALSE
108;753;6,31362277222484e-03;TRUE;2,27706152476066e-06;4,19710520223177e-03;TRUE;TRUE
108;754;9,76323446649951e-03;TRUE;1,51188103515728e-02;7,72779147789221e-03;TRUE;TRUE
108;755;2,55907854941499e-02;TRUE;1,55651842773584e-06;2,11052009089507e-02;TRUE;TRUE
108;756;6,05337649761032e-02;FALSE;6,04278711006068e-06;6,33736872478429e-02;FALSE;TRUE
108;757;3,72153619611957e-02;TRUE;4,29607426245127e-06;4,21406123906872e-02;TRUE;TRUE
108;758;3,41608949195003e-01;FALSE;7,40049715217991e-08;3,31004740881240e-01;FALSE;TRUE
108;759;9,48751497520366e-03;TRUE;2,82747199553712e-04;0,00000000000000e+00;TRUE;TRUE
108;760;1,13192023617401e-01;FALSE;1,04000700459198e-04;9,17386595450616e-02;FALSE;TRUE
108;761;7,47655207586586e-05;TRUE;5,83527919754316e-04;1,28078565063664e-04;TRUE;TRUE
108;762;2,39138897987357e-02;TRUE;3,24215618011068e-09;0,00000000000000e+00;TRUE;TRUE
108;763;7,54745623479725e-03;TRUE;4,48333737150004e-05;4,97546630036905e-03;TRUE;TRUE
108;764;2,10618450954037e-06;TRUE;1,65062981918178e-02;2,20146705541968e-06;TRUE;TRUE
108;765;1,27772992464045e-03;TRUE;1,70111480245360e-02;5,06127961321483e-04;TRUE;TRUE
108;766;1,20293744808948e-02;TRUE;4,23734358149685e-03;1,14274135390452e-02;TRUE;TRUE
108;767;2,25133433677844e-02;TRUE;3,66413510873872e-05;2,42687458922701e-02;TRUE;TRUE
108;768;5,08226010378529e-03;TRUE;3,30578589789226e-04;5,13734477067221e-03;TRUE;TRUE
108;769;4,10233935728631e-02;TRUE;1,14755113273931e-04;3,86113077123253e-02;TRUE;TRUE
108;770;3,22649406888884e-04;TRUE;7,01699956705592e-08;1,71566486718033e-04;TRUE;TRUE
108;771;3,26055369290325e-04;TRUE;1,09419783963586e-02;0,00000000000000e+00;TRUE;TRUE
108;772;1,54293984586323e-02;TRUE;2,45687738675080e-07;1,36228507440561e-02;TRUE;TRUE
108;773;7,33093461514835e-02;FALSE;1,09909348310648e-01;0,00000000000000e+00;TRUE;FALSE
108;774;3,58321130900845e-05;TRUE;4,76609212586185e-05;2,54406532133008e-05;TRUE;TRUE
108;775;1,45291507908931e-02;TRUE;4,42860400016528e-06;1,25640855885100e-02;TRUE;TRUE
108;776;1,54097427226038e-05;TRUE;2,10718865054228e-05;1,82643777421315e-05;TRUE;TRUE
108;777;4,38300459617540e-04;TRUE;8,85139709073280e-07;5,08558882102382e-04;TRUE;TRUE
108;778;2,08795291163364e-02;TRUE;1,24147509710367e-02;1,63534976184825e-02;TRUE;TRUE
108;779;3,10654203035728e-02;TRUE;9,09130046885049e-04;2,79462264468944e-02;TRUE;TRUE
108;780;5,55553311989287e-02;FALSE;4,51590640027301e-04;5,80272013658391e-02;FALSE;TRUE
108;781;2,85102248389060e-02;TRUE;2,62609153113692e-06;2,05577471757812e-02;TRUE;TRUE
108;782;5,81892442028141e-02;FALSE;7,99458629929274e-04;5,37595269440292e-02;FALSE;TRUE
108;783;6,17323997234222e-02;FALSE;5,69403486062543e-04;6,14090695037470e-02;FALSE;TRUE
108;784;6,47881279379745e-02;FALSE;6,35950821885274e-03;6,94188682966278e-02;FALSE;TRUE
108;785;1,81159170133404e-03;TRUE;1,00991141533293e-08;1,40777523573409e-03;TRUE;TRUE
108;786;2,79669133132009e-01;FALSE;1,63198584616243e-06;2,71125959961422e-01;FALSE;TRUE
108;787;9,44797110347382e-02;FALSE;1,22162463900262e-01;9,64808156662446e-02;FALSE;FALSE
108;788;3,19674700909274e-03;TRUE;9,90574791944021e-05;2,52373230547151e-03;TRUE;TRUE
108;789;6,83014622897675e-02;FALSE;1,88850814452690e-01;6,36596184269630e-02;FALSE;FALSE
108;790;8,10151205151139e-05;TRUE;2,54711707672820e-03;7,87854992681498e-05;TRUE;TRUE
108;791;5,00423518076079e-03;TRUE;2,43147689702079e-03;5,99060826499631e-03;TRUE;TRUE
108;792;1,26584649417841e-02;TRUE;1,43382574791419e-03;8,75496215186253e-03;TRUE;TRUE
108;793;1,08907575741235e-03;TRUE;1,54174109021332e-05;9,96048619698500e-04;TRUE;TRUE
108;794;2,47708864303905e-02;TRUE;1,25397721013085e-08;2,19493244108607e-02;TRUE;TRUE
108;795;5,30693492270464e-03;TRUE;2,19450008802203e-03;3,92931368073144e-03;TRUE;TRUE
108;796;2,70209981320620e-02;TRUE;7,68563339426856e-03;3,03995845820641e-02;TRUE;TRUE
108;797;1,54995059855244e-03;TRUE;9,60076331671154e-05;1,27392981975756e-03;TRUE;TRUE
108;798;5,73415406117679e-03;TRUE;2,51641277879337e-02;5,22975131238270e-03;TRUE;TRUE
108;799;4,52819637343366e-02;TRUE;5,25033670380414e-12;4,13984606467416e-02;TRUE;TRUE
108;800;1,28363307827304e-04;TRUE;3,56964170590022e-04;4,69692770012927e-05;TRUE;TRUE
108;801;6,62756700324474e-03;TRUE;3,27872772925686e-03;4,40513753336940e-03;TRUE;TRUE
108;802;9,09938224593981e-02;FALSE;7,88070491254080e-05;8,52281323356101e-02;FALSE;TRUE
108;803;1,98890336078465e-03;TRUE;8,07023222382055e-04;2,17482732403565e-03;TRUE;TRUE
108;804;1,10066441111528e-03;TRUE;3,57610959094352e-06;1,06042623109010e-03;TRUE;TRUE
108;805;1,45239377901714e-03;TRUE;1,74117432162178e-04;2,00684524148115e-03;TRUE;TRUE
108;806;8,26495688195862e-02;FALSE;1,89784922413097e-04;8,26478687389027e-02;FALSE;TRUE
108;807;9,70351083479457e-04;TRUE;4,34733004159971e-03;4,80664449511642e-04;TRUE;TRUE
108;808;1,38153045852409e-01;FALSE;1,08799574482956e-04;1,32424336987400e-01;FALSE;TRUE
108;809;3,25718507624259e-02;TRUE;2,35390417864970e-04;2,84883087732449e-02;TRUE;TRUE
108;810;2,91408712703287e-03;TRUE;1,06619369484824e-06;2,52120355615874e-03;TRUE;TRUE
108;811;2,17315478076222e-02;TRUE;1,70809818313409e-06;0,00000000000000e+00;TRUE;TRUE
108;812;2,74616333150779e-01;FALSE;2,62618820062385e-04;2,63742094665226e-01;FALSE;TRUE
108;813;9,58576073590627e-04;TRUE;8,42676474565531e-04;7,13531368630424e-04;TRUE;TRUE
